State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
MA,,8830,Theft,Other,No
MD,,2200,Unauthorized Access/Disclosure,Paper,Yes
NY,,4830,Unauthorized Access/Disclosure,E-mail,No
UT,,9800,Hacking/IT Incident,Network Server,Yes
TX,,1253,Hacking/IT Incident,E-mail,No
TX,,2308,Hacking/IT Incident,E-mail,No
TX,,1981,Hacking/IT Incident,E-mail,No
TX,,2742,Hacking/IT Incident,E-mail,No
IN,,1361,Hacking/IT Incident,Network Server,Yes
IA,,862,Unauthorized Access/Disclosure,Paper,No
AL,,629,Theft,Paper,No
PA,,1845,Loss,Paper,No
OH,,5696,Other,Paper,Yes
MA,,2387,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",No
KY,,1008,Other,E-mail,Yes
NJ,,2828,"Theft, Unauthorized Access/Disclosure",Paper,No
CA,,4744,Other,Paper,Yes
TX,,1000,Theft,Laptop,No
NJ,,1749,Other,Network Server,Yes
PR,,11531,Unauthorized Access/Disclosure,Paper,No
OR,,17914,Unauthorized Access/Disclosure,Other,No
MI,,502,"Unauthorized Access/Disclosure, Hacking/IT Incident",E-mail,Yes
NH,,1208,Theft,Desktop Computer,No
KY,,2962,Theft,Other Portable Electronic Device,No
NY,,26162,Unauthorized Access/Disclosure,Desktop Computer,No
OH,,594,Unauthorized Access/Disclosure,"Network Server, Electronic Medical Record",No
PR,,56853,Unauthorized Access/Disclosure,Paper,No
CT,,3814,Theft,Laptop,Yes
KS,,9640,Unauthorized Access/Disclosure,E-mail,No
PA,,2589,"Loss, Unauthorized Access/Disclosure",Paper,No
CA,,5845,Theft,Desktop Computer,No
PA,,1801,Other,"E-mail, Other Portable Electronic Device",No
IL,,540,Theft,"Desktop Computer, Paper",No
GA,,1175,Other,E-mail,No
PR,,28413,Theft,Other,Yes
FL,,1831,Hacking/IT Incident,Other,Yes
CA,,33702,"Theft, Loss",Other Portable Electronic Device,No
MI,,2289,Unauthorized Access/Disclosure,E-mail,No
CA,,5471,Theft,Desktop Computer,No
MI,Health Plan,1612,Hacking/IT Incident,Network Server,No
TX,Healthcare Provider,1594,Unauthorized Access/Disclosure,Email,No
MT,Healthcare Provider,2714,Unauthorized Access/Disclosure,"Electronic Medical Record, Laptop, Paper/Films",No
MA,Healthcare Provider,9050,Hacking/IT Incident,Network Server,Yes
IL,Healthcare Provider,104808,Hacking/IT Incident,Email,No
WV,Health Plan,1049,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,600,Unauthorized Access/Disclosure,Email,No
MO,Healthcare Provider,517,Unauthorized Access/Disclosure,Email,No
MA,Healthcare Provider,658,Unauthorized Access/Disclosure,"Network Server, Other",Yes
LA,Healthcare Provider,642,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,26609,Hacking/IT Incident,Email,No
WI,Healthcare Provider,907,Unauthorized Access/Disclosure,Email,No
SC,Healthcare Provider,39602,Hacking/IT Incident,Network Server,Yes
IL,Healthcare Provider,65403,Hacking/IT Incident,Network Server,No
NH,Healthcare Provider,34878,Hacking/IT Incident,Network Server,No
CA,Healthcare Provider,500,Theft,Paper/Films,No
OH,Healthcare Provider,2716,Hacking/IT Incident,"Laptop, Network Server",No
MI,Healthcare Provider,2745,Hacking/IT Incident,Network Server,No
AZ,Healthcare Provider,717,Loss,Paper/Films,No
AR,Healthcare Provider,2067,Hacking/IT Incident,Network Server,Yes
WA,Business Associate,207000,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,11135,Unauthorized Access/Disclosure,Other,No
TX,Healthcare Provider,39213,Hacking/IT Incident,Email,No
ID,Healthcare Provider,134906,Hacking/IT Incident,Email,No
OR,Health Plan,50000,Hacking/IT Incident,Network Server,Yes
MN,Healthcare Provider,1975,Hacking/IT Incident,Network Server,No
MO,Business Associate,50000,Hacking/IT Incident,Network Server,Yes
AZ,Health Plan,27390,Hacking/IT Incident,Network Server,Yes
MA,Healthcare Provider,873,Hacking/IT Incident,Network Server,No
OH,Business Associate,1008,Hacking/IT Incident,Network Server,Yes
OR,Business Associate,38387,Hacking/IT Incident,Network Server,Yes
PA,Health Plan,2872,Unauthorized Access/Disclosure,Paper/Films,No
UT,Healthcare Provider,8675,Hacking/IT Incident,Network Server,No
VA,Health Plan,33932,Hacking/IT Incident,Network Server,No
CA,Healthcare Provider,5983,Hacking/IT Incident,Email,No
CA,Healthcare Provider,994,Unauthorized Access/Disclosure,Email,No
TN,Business Associate,1435,Unauthorized Access/Disclosure,Other,Yes
TN,Healthcare Provider,70822,Unauthorized Access/Disclosure,Email,No
PA,Healthcare Provider,11487,Hacking/IT Incident,Email,No
MI,Business Associate,675,Hacking/IT Incident,Email,Yes
TX,Healthcare Provider,100487,Hacking/IT Incident,Email,No
WY,Healthcare Provider,900,Unauthorized Access/Disclosure,Email,No
CA,Healthcare Provider,2121,Unauthorized Access/Disclosure,Electronic Medical Record,No
FL,Healthcare Provider,1673,Loss,Paper/Films,No
ND,Healthcare Provider,1545,Hacking/IT Incident,Email,No
KY,Health Plan,62950,Unauthorized Access/Disclosure,Network Server,Yes
MN,Healthcare Provider,4122,Hacking/IT Incident,Email,No
OH,Healthcare Provider,1474284,Hacking/IT Incident,Network Server,No
CA,Healthcare Provider,900,Theft,Paper/Films,No
CA,Healthcare Provider,1200,Theft,Paper/Films,No
MI,Healthcare Provider,47178,Hacking/IT Incident,Email,No
MI,Healthcare Provider,1749,Hacking/IT Incident,Email,No
NC,Healthcare Provider,500,Hacking/IT Incident,Network Server,No
TX,Healthcare Provider,4500,Hacking/IT Incident,Network Server,No
OH,Health Plan,49636,Hacking/IT Incident,Email,No
TX,Healthcare Provider,877,Unauthorized Access/Disclosure,Electronic Medical Record,No
AZ,Healthcare Provider,100000,Hacking/IT Incident,Network Server,No
FL,Healthcare Provider,9023,Hacking/IT Incident,Network Server,No
IA,Healthcare Provider,34000,Hacking/IT Incident,Desktop Computer,No
FL,Healthcare Provider,1152,Hacking/IT Incident,Network Server,No
CO,Healthcare Provider,1454,Unauthorized Access/Disclosure,Other,No
NC,Healthcare Provider,677,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,7771,Hacking/IT Incident,Email,No
CA,Business Associate,29982,Hacking/IT Incident,Other,Yes
GA,Healthcare Provider,79100,Hacking/IT Incident,Desktop Computer,No
MI,Healthcare Provider,2644,Hacking/IT Incident,Email,No
NV,Healthcare Provider,6709,Hacking/IT Incident,Email,No
PA,Healthcare Provider,36086,Hacking/IT Incident,Email,Yes
TX,Healthcare Provider,3640,Unauthorized Access/Disclosure,Other,No
PA,Health Plan,19000,Hacking/IT Incident,Email,No
CA,Healthcare Provider,15600,Hacking/IT Incident,Network Server,No
TX,Healthcare Provider,25728,Unauthorized Access/Disclosure,Network Server,No
TX,Business Associate,7200,Hacking/IT Incident,Network Server,Yes
VA,Business Associate,11056,Hacking/IT Incident,Email,Yes
NV,Healthcare Provider,50000,Hacking/IT Incident,Network Server,Yes
LA,Healthcare Provider,3802,Hacking/IT Incident,"Desktop Computer, Email",Yes
FL,Healthcare Provider,6000,Hacking/IT Incident,Email,No
NY,Healthcare Provider,1787,Unauthorized Access/Disclosure,Electronic Medical Record,No
FL,Health Plan,3500000,Hacking/IT Incident,Network Server,Yes
FL,Healthcare Provider,9148,Unauthorized Access/Disclosure,Electronic Medical Record,No
LA,Healthcare Provider,2254,Hacking/IT Incident,Email,Yes
OH,Healthcare Provider,2428,Hacking/IT Incident,Email,No
MN,Healthcare Provider,8687,Hacking/IT Incident,Network Server,Yes
MN,Business Associate,1863,Unauthorized Access/Disclosure,Paper/Films,Yes
VT,Business Associate,15429,Hacking/IT Incident,Email,Yes
TX,Healthcare Provider,600,Unauthorized Access/Disclosure,Email,No
FL,Healthcare Provider,13759,Hacking/IT Incident,Electronic Medical Record,No
VA,Healthcare Provider,1680,Unauthorized Access/Disclosure,Email,No
AL,Health Plan,1465,Unauthorized Access/Disclosure,Paper/Films,No
MA,Healthcare Provider,1800,Hacking/IT Incident,Email,No
WI,Health Plan,899,Hacking/IT Incident,Network Server,No
MO,Healthcare Provider,648,Hacking/IT Incident,Network Server,Yes
WA,Business Associate,668,Unauthorized Access/Disclosure,Network Server,Yes
PA,Health Plan,610,Hacking/IT Incident,Network Server,No
TX,Healthcare Provider,640436,Hacking/IT Incident,Network Server,No
MD,Healthcare Provider,1440,Hacking/IT Incident,Email,No
WI,Healthcare Provider,760,Unauthorized Access/Disclosure,Electronic Medical Record,No
WI,Health Plan,1281,Unauthorized Access/Disclosure,Network Server,Yes
NY,Healthcare Provider,3994,Hacking/IT Incident,Email,No
TX,Healthcare Provider,20787,Hacking/IT Incident,Email,No
MA,Healthcare Provider,696,Hacking/IT Incident,Email,Yes
FL,Healthcare Provider,2340,Loss,Laptop,No
FL,Healthcare Provider,500,Hacking/IT Incident,"Desktop Computer, Network Server",No
WA,Healthcare Provider,2543,Hacking/IT Incident,Email,No
NC,Healthcare Provider,5000,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Network Server",No
FL,Healthcare Provider,500,Hacking/IT Incident,Network Server,No
SC,Healthcare Provider,189761,Hacking/IT Incident,Email,No
NY,Healthcare Provider,1269074,Hacking/IT Incident,Email,Yes
IN,Health Plan,11988,Unauthorized Access/Disclosure,Paper/Films,Yes
IL,Healthcare Provider,16089,Unauthorized Access/Disclosure,Email,No
LA,Business Associate,8085,Hacking/IT Incident,Email,Yes
NV,Healthcare Provider,2500,Hacking/IT Incident,Network Server,No
CA,Healthcare Provider,1122,Unauthorized Access/Disclosure,Other,No
MN,Health Plan,66874,Hacking/IT Incident,Email,No
NY,Healthcare Provider,7102,Hacking/IT Incident,Network Server,No
FL,Health Plan,3951,Hacking/IT Incident,Network Server,No
MA,Healthcare Provider,4075,Hacking/IT Incident,Email,No
WV,Healthcare Provider,3708,Hacking/IT Incident,Email,No
PA,Healthcare Provider,3259,Hacking/IT Incident,Email,No
NY,Healthcare Provider,2850,Hacking/IT Incident,Email,No
TN,Health Plan,50410,Hacking/IT Incident,"Email, Network Server",Yes
MO,Health Plan,1020,Unauthorized Access/Disclosure,Paper/Films,Yes
GA,Health Plan,3443,Unauthorized Access/Disclosure,Paper/Films,Yes
AZ,Health Plan,518,Unauthorized Access/Disclosure,Paper/Films,Yes
TX,Health Plan,3748,Unauthorized Access/Disclosure,Paper/Films,Yes
OH,Health Plan,606,Unauthorized Access/Disclosure,Paper/Films,Yes
FL,Health Plan,3429,Unauthorized Access/Disclosure,Paper/Films,Yes
DE,Healthcare Provider,56953,Hacking/IT Incident,Network Server,Yes
CA,Business Associate,138402,Hacking/IT Incident,Network Server,Yes
CT,Healthcare Provider,1634,Unauthorized Access/Disclosure,Email,No
OR,Health Plan,5793,Hacking/IT Incident,Network Server,Yes
MS,Health Plan,759,Unauthorized Access/Disclosure,Paper/Films,Yes
GA,Healthcare Provider,1223,Hacking/IT Incident,Network Server,No
MA,Healthcare Provider,5452,Hacking/IT Incident,Network Server,No
IN,Health Plan,828,Hacking/IT Incident,Network Server,No
FL,Healthcare Provider,73825,Hacking/IT Incident,Network Server,No
AR,Business Associate,3317,Loss,Paper/Films,Yes
CT,Health Plan,484157,Hacking/IT Incident,Email,Yes
CA,Health Plan,225000,Hacking/IT Incident,Email,No
VA,Healthcare Provider,8000,Hacking/IT Incident,Network Server,No
TN,Health Plan,1340,Unauthorized Access/Disclosure,Email,Yes
AZ,Healthcare Provider,137110,Hacking/IT Incident,Network Server,No
IA,Health Plan,536,Unauthorized Access/Disclosure,Email,No
NC,Healthcare Provider,114834,Hacking/IT Incident,Network Server,No
NY,Healthcare Provider,6800,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
NC,Health Plan,149804,Hacking/IT Incident,Email,No
FL,Business Associate,1290670,Hacking/IT Incident,Email,Yes
OH,Healthcare Provider,1452,Hacking/IT Incident,Email,No
MO,Healthcare Provider,4814,Hacking/IT Incident,Email,No
NE,Healthcare Provider,39912,Hacking/IT Incident,Network Server,Yes
FL,Business Associate,500,Hacking/IT Incident,Network Server,Yes
MO,Healthcare Provider,5001,Hacking/IT Incident,Network Server,No
PA,Healthcare Provider,1298,Hacking/IT Incident,Email,No
FL,Business Associate,985,Hacking/IT Incident,Email,Yes
WI,Health Plan,4492,Unauthorized Access/Disclosure,Paper/Films,No
TN,Healthcare Provider,501,Improper Disposal,Other,No
CO,Healthcare Provider,2283,Loss,Other Portable Electronic Device,No
LA,Healthcare Provider,3500,Hacking/IT Incident,Network Server,Yes
NC,Healthcare Provider,1041,Hacking/IT Incident,Network Server,Yes
TX,Healthcare Provider,37000,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,69000,Hacking/IT Incident,Email,No
ME,Healthcare Provider,1639,Hacking/IT Incident,Network Server,No
FL,Business Associate,1004304,Hacking/IT Incident,Network Server,Yes
FL,Business Associate,1064,Unauthorized Access/Disclosure,Other,Yes
FL,Healthcare Provider,979,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Paper/Films",Yes
KY,Healthcare Provider,695,Unauthorized Access/Disclosure,Paper/Films,Yes
MO,Healthcare Provider,11187,Unauthorized Access/Disclosure,Electronic Medical Record,No
TN,Healthcare Provider,20963,Hacking/IT Incident,Email,No
MA,Healthcare Provider,566,Hacking/IT Incident,Network Server,No
TX,Healthcare Provider,3200,Unauthorized Access/Disclosure,Other,No
PA,Healthcare Provider,299507,Hacking/IT Incident,Network Server,Yes
IL,Healthcare Provider,261054,Hacking/IT Incident,Network Server,Yes
UT,Health Plan,774,Unauthorized Access/Disclosure,Desktop Computer,No
NY,Healthcare Provider,670,Unauthorized Access/Disclosure,Paper/Films,No
MN,Healthcare Provider,1580,Theft,"Desktop Computer, Laptop, Other Portable Electronic Device",No
FL,Healthcare Provider,685,Hacking/IT Incident,Network Server,No
TX,Healthcare Provider,2255,Unauthorized Access/Disclosure,Email,No
MA,Health Plan,60545,Hacking/IT Incident,Email,Yes
MD,Business Associate,878550,Hacking/IT Incident,Network Server,Yes
KY,Healthcare Provider,859,Unauthorized Access/Disclosure,Other,Yes
NM,Business Associate,3557,Unauthorized Access/Disclosure,Paper/Films,Yes
MD,Business Associate,514,Unauthorized Access/Disclosure,Network Server,Yes
GA,Healthcare Provider,1462,Hacking/IT Incident,Email,No
WI,Business Associate,28658,Unauthorized Access/Disclosure,Paper/Films,Yes
NY,Healthcare Provider,1127,Hacking/IT Incident,Email,No
TX,Healthcare Provider,1925,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No
NE,Healthcare Provider,216472,Hacking/IT Incident,Network Server,No
CA,Healthcare Provider,5769,Hacking/IT Incident,Network Server,No
MA,Business Associate,8022,Unauthorized Access/Disclosure,Paper/Films,Yes
LA,Healthcare Provider,8000,Hacking/IT Incident,Email,No
DE,Healthcare Provider,78006,Hacking/IT Incident,Network Server,Yes
DC,Healthcare Provider,500,Hacking/IT Incident,Network Server,No
TX,Healthcare Provider,3076,Hacking/IT Incident,Email,No
CA,Business Associate,11315,Hacking/IT Incident,Network Server,Yes
AR,Healthcare Provider,524,Theft,Paper/Films,No
KY,Healthcare Provider,529,Loss,Other,No
CO,Healthcare Provider,295617,Hacking/IT Incident,Network Server,No
GA,Healthcare Provider,2000,Theft,Laptop,No
ID,Healthcare Provider,1866,Hacking/IT Incident,Email,No
IA,Healthcare Provider,92795,Hacking/IT Incident,Email,No
NY,Healthcare Provider,36474,Hacking/IT Incident,"Email, Network Server",No
DE,Healthcare Provider,9930,Unauthorized Access/Disclosure,Email,No
MI,Healthcare Provider,3500,Unauthorized Access/Disclosure,Electronic Medical Record,No
GA,Healthcare Provider,1881,Hacking/IT Incident,"Desktop Computer, Network Server",No
FL,Healthcare Provider,58823,Unauthorized Access/Disclosure,Network Server,No
GA,Health Plan,10205,Unauthorized Access/Disclosure,Paper/Films,No
VA,Healthcare Provider,10759,Hacking/IT Incident,"Email, Network Server",No
OH,Healthcare Provider,16196,Hacking/IT Incident,Network Server,No
AR,Healthcare Provider,2945,Unauthorized Access/Disclosure,Email,No
AL,Healthcare Provider,2000,Improper Disposal,Paper/Films,No
MN,Healthcare Provider,27500,Hacking/IT Incident,Email,No
MA,Healthcare Provider,176587,Hacking/IT Incident,Network Server,No
IL,Healthcare Provider,3815,Unauthorized Access/Disclosure,Email,No
MA,Healthcare Provider,1428,Hacking/IT Incident,Network Server,No
CA,Healthcare Provider,39881,Hacking/IT Incident,Network Server,Yes
NC,Healthcare Provider,100000,Loss,Electronic Medical Record,No
FL,Healthcare Provider,3991,Hacking/IT Incident,Network Server,No
VA,Healthcare Provider,24000,Hacking/IT Incident,Network Server,Yes
VA,Healthcare Provider,23846,Hacking/IT Incident,Network Server,Yes
IA,Healthcare Provider,603,Hacking/IT Incident,Network Server,Yes
CT,Healthcare Provider,15904,Hacking/IT Incident,Network Server,Yes
CT,Health Plan,37000,Hacking/IT Incident,Email,No
NY,Healthcare Provider,44009,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,19788,Hacking/IT Incident,Network Server,Yes
FL,Healthcare Provider,3370,Theft,Laptop,No
IA,Business Associate,117088,Hacking/IT Incident,Network Server,Yes
CA,Health Plan,80000,Hacking/IT Incident,Network Server,No
WA,Healthcare Provider,8000,Hacking/IT Incident,Network Server,No
CT,Healthcare Provider,5000,Hacking/IT Incident,Network Server,No
CT,Healthcare Provider,20727,Hacking/IT Incident,Network Server,No
ND,Healthcare Provider,35416,Hacking/IT Incident,Email,No
OH,Business Associate,829454,Hacking/IT Incident,Network Server,Yes
WA,Healthcare Provider,20838,Hacking/IT Incident,Network Server,No
NM,Healthcare Provider,4290,Improper Disposal,"Desktop Computer, Laptop",No
TX,Healthcare Provider,711,Unauthorized Access/Disclosure,Email,No
IN,Healthcare Provider,11638,Hacking/IT Incident,Email,No
TN,Healthcare Provider,50965,Hacking/IT Incident,Email,No
NY,Healthcare Provider,16431,Hacking/IT Incident,Email,No
PA,Business Associate,14500,Hacking/IT Incident,Email,Yes
MO,Healthcare Provider,501,Hacking/IT Incident,Email,No
AR,Healthcare Provider,12000,Unauthorized Access/Disclosure,Email,No
HI,Healthcare Provider,1784,Unauthorized Access/Disclosure,Paper/Films,No
FL,Healthcare Provider,1862,Hacking/IT Incident,Email,Yes
LA,Healthcare Provider,1700,Hacking/IT Incident,Network Server,Yes
FL,Healthcare Provider,315811,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,77443,Hacking/IT Incident,Network Server,No
IL,Healthcare Provider,94171,Hacking/IT Incident,Network Server,Yes
AR,Healthcare Provider,4916,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,86412,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,8000,Hacking/IT Incident,Network Server,No
CA,Healthcare Provider,3429,Hacking/IT Incident,Email,Yes
CA,Healthcare Provider,1440,Hacking/IT Incident,Email,No
MI,Healthcare Provider,1062,Unauthorized Access/Disclosure,Email,No
TX,Healthcare Provider,591,Theft,Paper/Films,No
CT,Healthcare Provider,1050,Hacking/IT Incident,Network Server,Yes
OH,Healthcare Provider,1677,Unauthorized Access/Disclosure,Other,No
NJ,Healthcare Provider,884,Hacking/IT Incident,Network Server,No
PA,Healthcare Provider,25000,Hacking/IT Incident,Network Server,No
TX,Healthcare Provider,2000,Unauthorized Access/Disclosure,Electronic Medical Record,No
CT,Healthcare Provider,21617,Hacking/IT Incident,Network Server,Yes
VA,Business Associate,1678,Hacking/IT Incident,Email,Yes
WA,Healthcare Provider,883,Theft,Paper/Films,No
GA,Healthcare Clearing House,45732,Hacking/IT Incident,Email,No
CT,Healthcare Provider,95000,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,353616,Hacking/IT Incident,Email,No
IA,Healthcare Provider,1138,Hacking/IT Incident,Email,No
TX,Health Plan,4973,Hacking/IT Incident,Email,No
MI,Healthcare Provider,2219,Unauthorized Access/Disclosure,Network Server,No
ME,Healthcare Provider,4500,Hacking/IT Incident,Network Server,Yes
TN,Healthcare Provider,1360,Unauthorized Access/Disclosure,Email,No
NJ,Healthcare Provider,74877,Hacking/IT Incident,Email,No
MN,Healthcare Provider,1614,Unauthorized Access/Disclosure,Electronic Medical Record,No
NY,Healthcare Provider,603,Hacking/IT Incident,Network Server,Yes
OH,Healthcare Provider,749,Unauthorized Access/Disclosure,Email,No
SC,Healthcare Provider,12636,Unauthorized Access/Disclosure,Paper/Films,No
VA,Business Associate,1016,Hacking/IT Incident,Email,Yes
VA,Healthcare Provider,6258,Hacking/IT Incident,Email,No
NM,Healthcare Provider,193223,Hacking/IT Incident,Other,Yes
OH,Healthcare Provider,118874,Hacking/IT Incident,Network Server,Yes
TX,Healthcare Provider,2235,Hacking/IT Incident,Email,No
NY,Healthcare Provider,13619,Hacking/IT Incident,Email,No
NY,Healthcare Provider,7164,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,2527,Hacking/IT Incident,Network Server,No
CA,Healthcare Provider,563,Unauthorized Access/Disclosure,Email,No
SC,Healthcare Provider,2851,Hacking/IT Incident,Network Server,No
FL,Health Plan,6034,Hacking/IT Incident,Network Server,No
OH,Business Associate,1474000,Unauthorized Access/Disclosure,Email,Yes
FL,Healthcare Provider,2374,Hacking/IT Incident,Email,No
NY,Healthcare Provider,16038,Hacking/IT Incident,Email,No
MI,Healthcare Provider,26861,Hacking/IT Incident,Email,No
TX,Healthcare Provider,228009,Hacking/IT Incident,Email,No
TX,Healthcare Provider,3414,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,65839,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,2850,Hacking/IT Incident,Electronic Medical Record,No
KY,Healthcare Provider,13375,Hacking/IT Incident,Email,No
MD,Healthcare Provider,668,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,717,Unauthorized Access/Disclosure,Electronic Medical Record,No
LA,Healthcare Provider,12861,Hacking/IT Incident,Network Server,No
MA,Healthcare Provider,74251,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,4004,Unauthorized Access/Disclosure,Electronic Medical Record,No
NY,Healthcare Provider,1135,Theft,Paper/Films,No
MO,Healthcare Provider,189736,Hacking/IT Incident,Email,No
GA,Healthcare Provider,5600,Hacking/IT Incident,Network Server,No
VA,Healthcare Provider,683,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,2000,Hacking/IT Incident,"Desktop Computer, Network Server",No
CA,Healthcare Provider,2691,Hacking/IT Incident,Email,No
NJ,Healthcare Provider,31550,Hacking/IT Incident,Email,No
GA,Healthcare Provider,5226,Hacking/IT Incident,Email,No
NY,Healthcare Provider,314829,Hacking/IT Incident,Network Server,Yes
KY,Healthcare Provider,2343,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,81552,Hacking/IT Incident,Network Server,Yes
MA,Healthcare Provider,71160,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,5242,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,73536,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,47272,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,5890,Hacking/IT Incident,Network Server,Yes
IA,Healthcare Provider,699,Hacking/IT Incident,Network Server,Yes
DE,Healthcare Provider,1229,Hacking/IT Incident,Network Server,Yes
CT,Healthcare Provider,2633,Hacking/IT Incident,Network Server,Yes
TX,Healthcare Provider,1987,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,141669,Hacking/IT Incident,Network Server,Yes
MA,Healthcare Provider,87420,Hacking/IT Incident,Network Server,Yes
NJ,Healthcare Provider,3657,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,81487,Hacking/IT Incident,Network Server,Yes
DC,Healthcare Provider,44308,Hacking/IT Incident,Network Server,No
NY,Healthcare Provider,175803,Hacking/IT Incident,Network Server,Yes
NH,Healthcare Provider,18623,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,87535,Hacking/IT Incident,Network Server,Yes
MA,Healthcare Provider,4271,Hacking/IT Incident,Email,No
GA,Healthcare Provider,2818,Hacking/IT Incident,Other,No
VA,Healthcare Provider,3061,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,43667,Hacking/IT Incident,Network Server,Yes
MA,Healthcare Provider,27244,Hacking/IT Incident,Network Server,Yes
VA,Healthcare Provider,54151,Hacking/IT Incident,Network Server,Yes
MD,Healthcare Provider,13041,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,695,Hacking/IT Incident,Email,No
SC,Healthcare Provider,54869,Hacking/IT Incident,Network Server,Yes
OH,Business Associate,58123,Hacking/IT Incident,Email,Yes
NY,Healthcare Provider,23000,Unauthorized Access/Disclosure,Electronic Medical Record,No
CA,Healthcare Provider,33575,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,343493,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,93642,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,3845,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,2650,Hacking/IT Incident,Email,No
TX,Healthcare Provider,4500,Hacking/IT Incident,Network Server,Yes
WA,Healthcare Provider,244761,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,92064,Hacking/IT Incident,Network Server,Yes
PA,Business Associate,3905,Hacking/IT Incident,Email,Yes
CT,Healthcare Provider,7777,Hacking/IT Incident,Email,No
OK,Healthcare Provider,1076,Improper Disposal,Paper/Films,No
WI,Healthcare Provider,2979,Unauthorized Access/Disclosure,Paper/Films,No
SC,Healthcare Provider,6000,Hacking/IT Incident,Email,No
FL,Healthcare Provider,4056,Theft,"Other Portable Electronic Device, Paper/Films",No
LA,Healthcare Provider,308169,Hacking/IT Incident,"Desktop Computer, Email, Network Server",No
MI,Healthcare Provider,52711,Hacking/IT Incident,Network Server,Yes
OH,Healthcare Provider,2869,Theft,"Other, Other Portable Electronic Device",No
UT,Healthcare Provider,112124,Hacking/IT Incident,Email,No
AZ,Healthcare Provider,244813,Hacking/IT Incident,Network Server,No
AK,Healthcare Provider,1538,Hacking/IT Incident,Network Server,No
SC,Healthcare Provider,3000,Hacking/IT Incident,Email,No
KY,Business Associate,1021,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,15000,Hacking/IT Incident,Network Server,No
OH,Healthcare Provider,740,Theft,Paper/Films,No
WA,Healthcare Provider,179189,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,16579,Hacking/IT Incident,Email,No
WA,Health Plan,648,Unauthorized Access/Disclosure,Email,No
KY,Health Plan,501,Hacking/IT Incident,Other,No
PA,Healthcare Provider,10393,Unauthorized Access/Disclosure,Email,No
NY,Healthcare Provider,1164,Hacking/IT Incident,"Email, Network Server",Yes
KY,Business Associate,139114,Hacking/IT Incident,Email,Yes
TX,Healthcare Provider,1768,Loss,Other Portable Electronic Device,No
PA,Healthcare Provider,177023,Hacking/IT Incident,Network Server,No
PA,Business Associate,8100,Hacking/IT Incident,Email,Yes
TX,Healthcare Provider,2102,Hacking/IT Incident,Email,No
WI,Healthcare Provider,1907,Unauthorized Access/Disclosure,Paper/Films,Yes
TX,Healthcare Provider,15958,Unauthorized Access/Disclosure,Other,No
ID,Healthcare Provider,543,Unauthorized Access/Disclosure,Email,No
IA,Healthcare Provider,914,Unauthorized Access/Disclosure,Paper/Films,No
AR,Healthcare Provider,772,Unauthorized Access/Disclosure,Electronic Medical Record,No
CT,Healthcare Provider,3736,Hacking/IT Incident,Email,No
MD,Healthcare Provider,102800,Hacking/IT Incident,Network Server,No
IN,Healthcare Provider,7264,Hacking/IT Incident,Network Server,No
ME,Business Associate,657392,Hacking/IT Incident,"Network Server, Other",Yes
CA,Healthcare Provider,738,Theft,Laptop,No
